# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_88e3f0f3fa5e5647affcf41a26194a08_model
# start_datetime = 2026-03-27 20:05:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/standata-ee3e16201c3c.json
# init = 2 (Default)
# random
#   seed = 121389
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-202603271505-1-81be3e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-profile-202603271505-1-1412eb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_88e3f0f3fa5e5647affcf41a26194a08_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,Vc.5,Vc.6,Vc.7,Vc.8,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l16_0,l17_0,l18_0,l19_0,l20_0,l21_0,l1_11,l2_13,l3_12,l4_11,l4_12,l5_11,l5_13,l6_12,l7_12,l8_11,l8_13,l9_13,l10_11,l10_13,l11_11,l11_12,l12_12,l12_13,l13_13,l14_11,l14_13,l15_11,l15_12,l16_12,l17_11,l18_11,l18_12,l19_11,l20_11,l20_13,l21_13,l4_212,l5_213,l8_213,l10_213,l11_212,l12_223,l14_213,l15_212,l18_212,l20_213,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,log_Vc.5,log_Vc.6,log_Vc.7,log_Vc.8,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.16.1,pi.17.1,pi.18.1,pi.19.1,pi.20.1,pi.21.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.16.2,pi.17.2,pi.18.2,pi.19.2,pi.20.2,pi.21.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.16.3,pi.17.3,pi.18.3,pi.19.3,pi.20.3,pi.21.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4,pi.16.4,pi.17.4,pi.18.4,pi.19.4,pi.20.4,pi.21.4,pi.1.5,pi.2.5,pi.3.5,pi.4.5,pi.5.5,pi.6.5,pi.7.5,pi.8.5,pi.9.5,pi.10.5,pi.11.5,pi.12.5,pi.13.5,pi.14.5,pi.15.5,pi.16.5,pi.17.5,pi.18.5,pi.19.5,pi.20.5,pi.21.5,pi.1.6,pi.2.6,pi.3.6,pi.4.6,pi.5.6,pi.6.6,pi.7.6,pi.8.6,pi.9.6,pi.10.6,pi.11.6,pi.12.6,pi.13.6,pi.14.6,pi.15.6,pi.16.6,pi.17.6,pi.18.6,pi.19.6,pi.20.6,pi.21.6,pi.1.7,pi.2.7,pi.3.7,pi.4.7,pi.5.7,pi.6.7,pi.7.7,pi.8.7,pi.9.7,pi.10.7,pi.11.7,pi.12.7,pi.13.7,pi.14.7,pi.15.7,pi.16.7,pi.17.7,pi.18.7,pi.19.7,pi.20.7,pi.21.7,pi.1.8,pi.2.8,pi.3.8,pi.4.8,pi.5.8,pi.6.8,pi.7.8,pi.8.8,pi.9.8,pi.10.8,pi.11.8,pi.12.8,pi.13.8,pi.14.8,pi.15.8,pi.16.8,pi.17.8,pi.18.8,pi.19.8,pi.20.8,pi.21.8
# Adaptation terminated
# Step size = 0.0732712
# Diagonal elements of inverse mass matrix:
# 0.0195326, 0.0530516, 0.0298302, 0.0312637, 0.0303859, 0.0306092, 0.0288218, 0.0585638, 0.0877599, 0.0157724, 0.0974336, 0.0249474, 0.0307024, 0.0923303, 0.0373498, 0.0274201, 0.115565, 0.0626035, 0.0375616, 0.0170615, 0.0429295, 0.0263883, 0.0190824, 0.0610519, 0.038607, 0.030881, 0.179719, 0.0416439, 0.00559776, 0.0114488, 0.0681666, 0.0504067, 0.137246, 0.042511, 0.404351, 0.0137848, 0.0168198, 0.279419, 0.286176, 0.0208919, 0.0571828, 0.14963, 0.0399059, 0.142754, 0.0571387, 0.363512, 0.0499827, 0.0320336, 0.214124, 0.292441, 0.256276, 0.0504476, 0.00692749, 0.225359, 0.132865, 0.0081678, 0.0330848, 0.0325949, 0.0129888, 0.123234, 0.20779, 0.0380469, 0.0573587, 0.0647408, 0.845517, 0.162737, 0.677608, 0.0425177, 0.426866
-6581.3955,0.97511398,0.073271197,6,63,0,6604.9408,0.15404674,0.11324249,0.079217118,0.15749046,0.08898772,0.17339446,0.11567234,0.11794868,-2.2100749,-2.4469473,-0.36424257,-1.7723283,-0.9461381,-0.88810407,-1.5467009,-1.6060295,-0.78639986,-2.0926095,-1.6202506,-1.1050251,-0.24742503,-1.0100293,-0.1990194,-0.42460804,-2.2549103,-0.98005898,-1.3268568,-2.2776233,-1.0957261,4.3160408,3.5483913,1.022631,1.7893676,1.4513164,1.3645256,0.39118178,2.277508,3.6777526,0.66726664,0.35353869,1.576887,1.9278705,1.5418663,2.0323062,1.3110675,1.7265205,0.65538271,1.0216317,1.9592897,0.93080979,0.44487701,0.81346617,1.0722155,4.2895088,0.65697363,0.87745702,2.4169164,2.1069804,2.7681479,3.3259838,-0.35246208,1.5042283,1.5009121,0.34162506,1.2701908,-0.26596916,-0.16621392,-0.18332512,1.8596308,-1.5582817,-1.8704992,-2.1782238,-2.5355629,-1.8483904,-2.4192569,-1.7521862,-2.1569938,-2.1375057,0.098849402,0.079662072,0.40993295,0.14525302,0.27966214,0.29150123,0.17556327,0.1671406,0.31294221,0.10981722,0.16517031,0.24879953,0.43845739,0.26697413,0.45040873,0.39541462,0.094926753,0.27288008,0.20967976,0.092993226,0.25054156,0.89148168,0.079662072,0.40993295,0.50425972,0.60309732,0.29150123,0.17556327,0.28115032,0.31294221,0.45890816,0.60158067,0.24879953,0.43845739,0.72096643,0.56115666,0.39541462,0.88438211,0.41992401,0.74839293,0.4574425,0.25054156,0.098849402,0.079662072,0.65889829,0.42042915,0.27966214,0.80049707,0.89388481,0.1671406,0.31294221,0.10981722,0.42331415,0.65055857,0.43845739,0.26697413,0.6489545,0.65647112,0.094926753,0.47437199,0.20967976,0.092993226,0.25054156,0.098849402,0.75053056,0.40993295,0.14525302,0.36471527,0.29150123,0.17556327,0.22226927,0.68793592,0.36569201,0.16517031,0.3894458,0.68443018,0.48020549,0.45040873,0.39541462,0.094926753,0.27288008,0.20967976,0.62023002,0.90293395,0.89148168,0.079662072,0.65889829,0.75322623,0.60309732,0.80049707,0.89388481,0.28115032,0.31294221,0.45890816,0.95227115,0.65055857,0.43845739,0.72096643,0.70599236,0.65647112,0.88438211,0.91788885,0.74839293,0.4574425,0.25054156,0.89148168,0.75053056,0.40993295,0.50425972,0.91001332,0.29150123,0.17556327,0.71416269,0.68793592,0.84796808,0.60158067,0.3894458,0.68443018,0.8473358,0.56115666,0.39541462,0.88438211,0.41992401,0.74839293,0.73870013,0.90293395,0.098849402,0.75053056,0.65889829,0.42042915,0.36471527,0.80049707,0.89388481,0.22226927,0.68793592,0.36569201,0.42331415,0.73319799,0.68443018,0.48020549,0.6489545,0.65647112,0.094926753,0.47437199,0.20967976,0.62023002,0.90293395,0.89148168,0.75053056,0.65889829,0.75322623,0.91001332,0.80049707,0.89388481,0.71416269,0.68793592,0.84796808,0.95227115,0.73319799,0.68443018,0.8473358,0.70599236,0.65647112,0.88438211,0.91788885,0.74839293,0.73870013,0.90293395
-6581.6501,0.83385864,0.073271197,6,63,0,6621.0547,0.14572711,0.12280518,0.075280838,0.13584177,0.092948331,0.17576747,0.1198491,0.13178019,-2.1291144,-2.5708729,-0.32311846,-1.7265348,-0.91323382,-0.87043744,-1.3101022,-1.421742,-0.70807709,-2.1936179,-1.6497394,-1.125487,-0.28155213,-0.94154283,-0.19827356,-0.3431646,-2.3748761,-0.79200152,-1.3253853,-2.36853,-1.0747926,4.1305581,3.9108567,0.94701249,1.8623044,1.2073335,1.2938913,0.31529402,2.4843157,3.5200528,0.71218948,0.39770632,1.5513616,2.1751538,1.2634462,2.0859218,1.7000413,1.7475015,0.43230838,1.1618358,1.8686933,0.96076019,0.4310321,0.85473412,1.1533487,4.3457773,0.49280916,0.62917212,2.5190347,2.3303967,2.7916655,3.0646368,-0.13901821,1.3472615,1.3607999,0.71428484,1.1845225,-0.095593775,-0.022302622,-0.1502374,1.7339237,-1.8998809,-1.9260195,-2.097156,-2.5865296,-1.9962645,-2.3757115,-1.7385934,-2.1215218,-2.02662,0.1062991,0.071036678,0.41991594,0.15103136,0.28633855,0.29516329,0.21246975,0.19438864,0.33002387,0.10032507,0.16114418,0.24499492,0.43007329,0.2805888,0.45059336,0.41504096,0.085108691,0.31173907,0.20992372,0.085604135,0.25449274,0.88094857,0.071036678,0.41991594,0.53389036,0.59403167,0.29516329,0.21246975,0.32969773,0.33002387,0.49538411,0.607349,0.24499492,0.43007329,0.71649682,0.55792834,0.41504096,0.87770788,0.42575493,0.76739312,0.49046784,0.25449274,0.1062991,0.071036678,0.65110367,0.37303902,0.28633855,0.83394914,0.90113953,0.19438864,0.33002387,0.10032507,0.51257283,0.65067659,0.43007329,0.2805888,0.65846486,0.69214873,0.085108691,0.45938235,0.20992372,0.085604135,0.25449274,0.1062991,0.79248728,0.41991594,0.15103136,0.35481518,0.29516329,0.21246975,0.26424205,0.69915651,0.28288989,0.16114418,0.33332635,0.70688099,0.50480419,0.45059336,0.41504096,0.085108691,0.31173907,0.20992372,0.60423331,0.87972666,0.88094857,0.071036678,0.65110367,0.76925067,0.59403167,0.83394914,0.90113953,0.32969773,0.33002387,0.49538411,0.96513371,0.65067659,0.43007329,0.71649682,0.7185449,0.69214873,0.87770788,0.88734497,0.76739312,0.49046784,0.25449274,0.88094857,0.79248728,0.41991594,0.53389036,0.88526004,0.29516329,0.21246975,0.74057393,0.69915651,0.8764536,0.607349,0.33332635,0.70688099,0.86594927,0.55792834,0.41504096,0.87770788,0.42575493,0.76739312,0.70133255,0.87972666,0.1062991,0.79248728,0.65110367,0.37303902,0.35481518,0.83394914,0.90113953,0.26424205,0.69915651,0.28288989,0.51257283,0.72286729,0.70688099,0.50480419,0.65846486,0.69214873,0.085108691,0.45938235,0.20992372,0.60423331,0.87972666,0.88094857,0.79248728,0.65110367,0.76925067,0.88526004,0.83394914,0.90113953,0.74057393,0.69915651,0.8764536,0.96513371,0.72286729,0.70688099,0.86594927,0.7185449,0.69214873,0.87770788,0.88734497,0.76739312,0.70133255,0.87972666
-6586.0245,0.96430447,0.073271197,6,63,0,6618.3702,0.15313497,0.11397985,0.07603644,0.11488368,0.13639967,0.11155141,0.16677857,0.1272354,-2.1694079,-2.3485622,-0.39161937,-1.8536704,-0.77670295,-0.85180762,-1.9624523,-1.6221073,-0.96745461,-2.206372,-0.97806651,-0.84455358,-0.072199554,-1.1980076,-0.25401212,-0.35439613,-2.0451384,-1.4213223,-1.4067874,-2.8090866,-1.4362879,4.1361054,3.4679114,0.96027032,1.4784822,1.1712707,1.6976631,0.72600311,1.9440656,4.5801427,1.1549256,0.61238233,1.8492972,2.1184917,0.97230845,1.5992666,0.72282233,0.98347829,0.17316271,1.1289284,1.9900389,1.1814228,0.30422157,0.63626385,0.78311353,4.1281373,1.2481063,1.38683,2.9056177,2.7164508,3.208599,3.4659492,0.15690417,-0.4851562,0.734797,0.85976248,0.60592193,0.44620575,-0.062810721,0.20695016,0.68785678,-2.012091,-1.8764356,-2.1717336,-2.5765426,-2.1638352,-1.9921659,-2.1932697,-1.7910883,-2.0617163,0.10253151,0.087180125,0.40332753,0.13544253,0.31503091,0.29905381,0.1232019,0.16491445,0.27538814,0.099179735,0.2732756,0.30057662,0.48195795,0.23182985,0.43683623,0.41231678,0.11454454,0.19445437,0.19674126,0.056835126,0.19212085,0.87725596,0.087180125,0.40332753,0.40728798,0.7152377,0.29905381,0.1232019,0.38528351,0.27538814,0.47804404,0.65049145,0.30057662,0.48195795,0.68826733,0.51254972,0.41231678,0.88923974,0.45680395,0.81739995,0.47685761,0.19212085,0.10253151,0.087180125,0.63845183,0.33572594,0.31503091,0.74880668,0.93199147,0.16491445,0.27538814,0.099179735,0.43653315,0.53467543,0.48195795,0.23182985,0.59441608,0.60556735,0.11454454,0.49137778,0.19674126,0.056835126,0.19212085,0.10253151,0.75386798,0.40332753,0.13544253,0.48732775,0.29905381,0.1232019,0.26703367,0.7072039,0.22547099,0.2732756,0.33818547,0.74206494,0.4958539,0.43683623,0.41231678,0.11454454,0.19445437,0.19674126,0.59857052,0.88387632,0.87725596,0.087180125,0.63845183,0.72171544,0.7152377,0.74880668,0.93199147,0.38528351,0.27538814,0.47804404,0.87544058,0.53467543,0.48195795,0.68826733,0.70959615,0.60556735,0.88923974,0.8700579,0.81739995,0.47685761,0.19212085,0.87725596,0.75386798,0.40332753,0.40728798,0.76166091,0.29905381,0.1232019,0.70682173,0.7072039,0.85121856,0.65049145,0.33818547,0.74206494,0.87109141,0.51254972,0.41231678,0.88923974,0.45680395,0.81739995,0.75098496,0.88387632,0.10253151,0.75386798,0.63845183,0.33572594,0.48732775,0.74880668,0.93199147,0.26703367,0.7072039,0.22547099,0.43653315,0.68098305,0.74206494,0.4958539,0.59441608,0.60556735,0.11454454,0.49137778,0.19674126,0.59857052,0.88387632,0.87725596,0.75386798,0.63845183,0.72171544,0.76166091,0.74880668,0.93199147,0.70682173,0.7072039,0.85121856,0.87544058,0.68098305,0.74206494,0.87109141,0.70959615,0.60556735,0.88923974,0.8700579,0.81739995,0.75098496,0.88387632
-6590.9128,0.97338852,0.073271197,6,63,0,6621.3105,0.1739257,0.097139251,0.067070432,0.15365554,0.10838017,0.17470056,0.11984048,0.10528787,-2.2153134,-2.4160571,-0.13151389,-1.7672337,-0.6148803,-1.0898321,-1.2765188,-1.378347,-0.56634004,-1.6200213,-1.3235509,-0.87264477,-0.25493111,-1.2651165,-0.19058685,-0.2390927,-2.0583473,-0.79530053,-1.1384673,-2.3832652,-1.0225157,4.1082325,3.696449,0.8932697,1.2359428,1.6332696,1.6100881,0.082336607,2.3305642,3.5194188,0.64816396,0.85795047,1.7048857,1.7328388,0.7870651,1.9378921,1.2879452,1.4696248,0.55980933,0.84629018,2.3323268,1.1979954,0.32057507,0.42760421,1.0019892,4.3456995,0.44958515,0.89330124,2.5567517,2.2839263,2.8066002,3.1568496,-0.41737846,0.29464437,0.75323247,1.0424799,0.70509119,0.12129939,-0.56083418,0.48445784,2.0974918,-1.9460192,-1.7491271,-2.3316098,-2.702012,-1.873042,-2.2221101,-1.7446819,-2.1215938,-2.2510571,0.098383747,0.081956431,0.46716883,0.14588668,0.35094674,0.2516499,0.21814339,0.20127461,0.36208177,0.16520193,0.21022812,0.29470428,0.43661016,0.22009438,0.45249699,0.44050995,0.11321164,0.31103168,0.24260187,0.084457745,0.26453765,0.86908801,0.081956431,0.46716883,0.37021584,0.73011534,0.2516499,0.21814339,0.32515456,0.36208177,0.5281745,0.64893045,0.29470428,0.43661016,0.74406603,0.53245137,0.44050995,0.90782412,0.41442182,0.80506931,0.47518568,0.26453765,0.098383747,0.081956431,0.68173482,0.46655897,0.35094674,0.77569141,0.90403634,0.20127461,0.36208177,0.16520193,0.49109951,0.64496507,0.43661016,0.22009438,0.5589785,0.68198227,0.11321164,0.52448059,0.24260187,0.084457745,0.26453765,0.098383747,0.78251648,0.46716883,0.14588668,0.36992381,0.2516499,0.21814339,0.37275951,0.75741251,0.30302036,0.21022812,0.42242279,0.64367692,0.48322603,0.45249699,0.44050995,0.11321164,0.31103168,0.24260187,0.60428102,0.89419574,0.86908801,0.081956431,0.68173482,0.66476465,0.73011534,0.77569141,0.90403634,0.32515456,0.36208177,0.5281745,0.93133488,0.64496507,0.43661016,0.74406603,0.73924542,0.68198227,0.90782412,0.93370696,0.80506931,0.47518568,0.26453765,0.86908801,0.78251648,0.46716883,0.37021584,0.79773356,0.2516499,0.21814339,0.70702938,0.75741251,0.87461146,0.64893045,0.42242279,0.64367692,0.84610481,0.53245137,0.44050995,0.90782412,0.41442182,0.80506931,0.68162335,0.89419574,0.098383747,0.78251648,0.68173482,0.46655897,0.36992381,0.77569141,0.90403634,0.37275951,0.75741251,0.30302036,0.49109951,0.78212426,0.64367692,0.48322603,0.5589785,0.68198227,0.11321164,0.52448059,0.24260187,0.60428102,0.89419574,0.86908801,0.78251648,0.68173482,0.66476465,0.79773356,0.77569141,0.90403634,0.70702938,0.75741251,0.87461146,0.93133488,0.78212426,0.64367692,0.84610481,0.73924542,0.68198227,0.90782412,0.93370696,0.80506931,0.68162335,0.89419574
-6589.092,0.96080386,0.073271197,6,63,0,6619.3629,0.15201794,0.12398164,0.080825153,0.16572106,0.1244284,0.14780713,0.09204426,0.11317442,-2.2042037,-2.1522015,-0.17563019,-1.8839751,-0.42066558,-0.82878927,-1.4896883,-1.4336456,-0.86924184,-1.7185497,-1.1687507,-1.0384259,0.022699503,-1.2493137,-0.36824142,-0.29479484,-2.3618396,-0.62431861,-1.2802253,-2.5219993,-1.0423356,4.1198874,3.2588372,0.71702474,1.9764881,1.1400263,1.3922938,0.18794237,2.2528294,3.6514211,0.76627196,0.32115366,1.5883578,1.407041,1.1162711,1.9221878,1.196412,1.4523097,0.19627787,0.84415936,2.1598906,0.94531071,0.57837415,0.60096433,0.82371586,4.2333677,0.4792668,0.31377765,2.3720965,2.5614993,2.5003726,2.7507133,0.056897315,0.064750089,1.0208089,1.0113832,0.63642985,0.16185986,-0.22655077,-0.028031382,2.3490959,-1.6931565,-1.8837567,-2.0876218,-2.5154671,-1.7974493,-2.0840248,-1.911847,-2.3854857,-2.1788251,0.099373628,0.10412568,0.45620497,0.13193296,0.39635749,0.30390113,0.18396852,0.19253129,0.29541208,0.15205806,0.23708088,0.26145382,0.50567463,0.22281896,0.40896603,0.42683042,0.086129285,0.34879989,0.21751188,0.074330268,0.26069959,0.87165633,0.10412568,0.45620497,0.52311176,0.72544392,0.30390113,0.18396852,0.33908517,0.29541208,0.42274652,0.67992717,0.26145382,0.50567463,0.71311821,0.55234073,0.42683042,0.86663499,0.4638005,0.74873391,0.50987371,0.26069959,0.099373628,0.10412568,0.63213677,0.32214126,0.39635749,0.805971,0.89676009,0.19253129,0.29541208,0.15205806,0.50691488,0.60201877,0.50567463,0.22281896,0.55791955,0.62923142,0.086129285,0.4229827,0.21751188,0.074330268,0.26069959,0.099373628,0.75150137,0.45620497,0.13193296,0.44208037,0.30390113,0.18396852,0.2474066,0.67241231,0.35382254,0.23708088,0.30108257,0.70409167,0.42457921,0.40896603,0.42683042,0.086129285,0.34879989,0.21751188,0.49459354,0.84662576,0.87165633,0.10412568,0.63213677,0.78405181,0.72544392,0.805971,0.89676009,0.33908517,0.29541208,0.42274652,0.92997328,0.60201877,0.50567463,0.71311821,0.68634046,0.62923142,0.86663499,0.92538179,0.74873391,0.50987371,0.26069959,0.87165633,0.75150137,0.45620497,0.52311176,0.77282301,0.30390113,0.18396852,0.66252992,0.67241231,0.86010297,0.67992717,0.30108257,0.70409167,0.83607878,0.55234073,0.42683042,0.86663499,0.4638005,0.74873391,0.6998778,0.84662576,0.099373628,0.75150137,0.63213677,0.32214126,0.44208037,0.805971,0.89676009,0.2474066,0.67241231,0.35382254,0.50691488,0.68395803,0.70409167,0.42457921,0.55791955,0.62923142,0.086129285,0.4229827,0.21751188,0.49459354,0.84662576,0.87165633,0.75150137,0.63213677,0.78405181,0.77282301,0.805971,0.89676009,0.66252992,0.67241231,0.86010297,0.92997328,0.68395803,0.70409167,0.83607878,0.68634046,0.62923142,0.86663499,0.92538179,0.74873391,0.6998778,0.84662576
-6585.372,0.9384409,0.073271197,6,63,0,6624.5593,0.20872619,0.14872178,0.054402456,0.11368937,0.10871815,0.17018026,0.0954308,0.10013099,-2.1329094,-2.2434387,-0.20239473,-1.6694086,-0.77795031,-1.0655023,-1.3250512,-0.97018137,-0.64558464,-2.0031366,-1.0117632,-0.56165691,-0.17053936,-1.2724052,-0.34141178,-0.30443208,-2.3394224,-0.83441044,-1.3861465,-2.1007677,-0.818806,3.8827033,3.6417958,0.91994746,1.3961949,1.8920595,1.6047465,0.40986409,2.6472203,4.7512998,0.44081208,0.34141147,1.8535229,2.1207487,1.2596587,1.6376958,0.93530908,1.0978895,0.22951394,1.0137318,2.1658182,1.150792,0.38123034,0.81488699,0.95729736,4.6669537,0.93680349,0.90379013,2.880924,2.0814908,2.3681871,3.1751641,-0.56143942,0.51421969,1.3152398,0.60257229,1.2926183,0.25432613,-0.24965754,0.16360872,1.3117136,-1.5835017,-1.566732,-1.9056779,-2.911346,-2.1742853,-2.2189965,-1.7708971,-2.3493539,-2.3012761,0.10593911,0.095916938,0.44957334,0.15850305,0.31476181,0.25625936,0.20997913,0.27484435,0.34398522,0.11887399,0.26663493,0.36316417,0.45746819,0.2188458,0.41546658,0.42447438,0.087910214,0.30271331,0.20002367,0.10902223,0.30601717,0.85192681,0.095916938,0.44957334,0.43211831,0.69567707,0.25625936,0.20997913,0.370664,0.34398522,0.52936918,0.65156663,0.36316417,0.45746819,0.70959399,0.50995333,0.42447438,0.91113165,0.52557592,0.81679427,0.49518094,0.30601717,0.10593911,0.095916938,0.67206788,0.55543393,0.31476181,0.82944769,0.96851487,0.27484435,0.34398522,0.11887399,0.48089577,0.63093559,0.45746819,0.2188458,0.61620596,0.65765586,0.087910214,0.51733797,0.20002367,0.10902223,0.30601717,0.10593911,0.80192306,0.44957334,0.15850305,0.40900354,0.25625936,0.20997913,0.34778951,0.76993394,0.32224409,0.26663493,0.4177193,0.69913716,0.4696341,0.41546658,0.42447438,0.087910214,0.30271331,0.20002367,0.56645927,0.91343828,0.85192681,0.095916938,0.67206788,0.7421946,0.69567707,0.82944769,0.96851487,0.370664,0.34398522,0.52936918,0.94551787,0.63093559,0.45746819,0.70959399,0.73464411,0.65765586,0.91113165,0.91034843,0.81679427,0.49518094,0.30601717,0.85192681,0.80192306,0.44957334,0.43211831,0.85206375,0.25625936,0.20997913,0.75533695,0.76993394,0.87866444,0.65156663,0.4177193,0.69913716,0.8574839,0.50995333,0.42447438,0.91113165,0.52557592,0.81679427,0.68252684,0.91343828,0.10593911,0.80192306,0.67206788,0.55543393,0.40900354,0.82944769,0.96851487,0.34778951,0.76993394,0.32224409,0.48089577,0.73498675,0.69913716,0.4696341,0.61620596,0.65765586,0.087910214,0.51733797,0.20002367,0.56645927,0.91343828,0.85192681,0.80192306,0.67206788,0.7421946,0.85206375,0.82944769,0.96851487,0.75533695,0.76993394,0.87866444,0.94551787,0.73498675,0.69913716,0.8574839,0.73464411,0.65765586,0.91113165,0.91034843,0.81679427,0.68252684,0.91343828
