# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = model_88e3f0f3fa5e5647affcf41a26194a08_model
# start_datetime = 2026-03-27 20:05:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/standata-ee3e16201c3c.json
# init = 2 (Default)
# random
#   seed = 121389
# output
#   file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-202603271505-2-81be3e.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /var/folders/zz/_tf8d1dj3m32gskckvrvzn240000gr/T/RtmpwTMdOk/model_88e3f0f3fa5e5647affcf41a26194a08-profile-202603271505-2-1412eb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=model_88e3f0f3fa5e5647affcf41a26194a08_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Vc.1,Vc.2,Vc.3,Vc.4,Vc.5,Vc.6,Vc.7,Vc.8,l1_0,l2_0,l3_0,l4_0,l5_0,l6_0,l7_0,l8_0,l9_0,l10_0,l11_0,l12_0,l13_0,l14_0,l15_0,l16_0,l17_0,l18_0,l19_0,l20_0,l21_0,l1_11,l2_13,l3_12,l4_11,l4_12,l5_11,l5_13,l6_12,l7_12,l8_11,l8_13,l9_13,l10_11,l10_13,l11_11,l11_12,l12_12,l12_13,l13_13,l14_11,l14_13,l15_11,l15_12,l16_12,l17_11,l18_11,l18_12,l19_11,l20_11,l20_13,l21_13,l4_212,l5_213,l8_213,l10_213,l11_212,l12_223,l14_213,l15_212,l18_212,l20_213,log_Vc.1,log_Vc.2,log_Vc.3,log_Vc.4,log_Vc.5,log_Vc.6,log_Vc.7,log_Vc.8,pi.1.1,pi.2.1,pi.3.1,pi.4.1,pi.5.1,pi.6.1,pi.7.1,pi.8.1,pi.9.1,pi.10.1,pi.11.1,pi.12.1,pi.13.1,pi.14.1,pi.15.1,pi.16.1,pi.17.1,pi.18.1,pi.19.1,pi.20.1,pi.21.1,pi.1.2,pi.2.2,pi.3.2,pi.4.2,pi.5.2,pi.6.2,pi.7.2,pi.8.2,pi.9.2,pi.10.2,pi.11.2,pi.12.2,pi.13.2,pi.14.2,pi.15.2,pi.16.2,pi.17.2,pi.18.2,pi.19.2,pi.20.2,pi.21.2,pi.1.3,pi.2.3,pi.3.3,pi.4.3,pi.5.3,pi.6.3,pi.7.3,pi.8.3,pi.9.3,pi.10.3,pi.11.3,pi.12.3,pi.13.3,pi.14.3,pi.15.3,pi.16.3,pi.17.3,pi.18.3,pi.19.3,pi.20.3,pi.21.3,pi.1.4,pi.2.4,pi.3.4,pi.4.4,pi.5.4,pi.6.4,pi.7.4,pi.8.4,pi.9.4,pi.10.4,pi.11.4,pi.12.4,pi.13.4,pi.14.4,pi.15.4,pi.16.4,pi.17.4,pi.18.4,pi.19.4,pi.20.4,pi.21.4,pi.1.5,pi.2.5,pi.3.5,pi.4.5,pi.5.5,pi.6.5,pi.7.5,pi.8.5,pi.9.5,pi.10.5,pi.11.5,pi.12.5,pi.13.5,pi.14.5,pi.15.5,pi.16.5,pi.17.5,pi.18.5,pi.19.5,pi.20.5,pi.21.5,pi.1.6,pi.2.6,pi.3.6,pi.4.6,pi.5.6,pi.6.6,pi.7.6,pi.8.6,pi.9.6,pi.10.6,pi.11.6,pi.12.6,pi.13.6,pi.14.6,pi.15.6,pi.16.6,pi.17.6,pi.18.6,pi.19.6,pi.20.6,pi.21.6,pi.1.7,pi.2.7,pi.3.7,pi.4.7,pi.5.7,pi.6.7,pi.7.7,pi.8.7,pi.9.7,pi.10.7,pi.11.7,pi.12.7,pi.13.7,pi.14.7,pi.15.7,pi.16.7,pi.17.7,pi.18.7,pi.19.7,pi.20.7,pi.21.7,pi.1.8,pi.2.8,pi.3.8,pi.4.8,pi.5.8,pi.6.8,pi.7.8,pi.8.8,pi.9.8,pi.10.8,pi.11.8,pi.12.8,pi.13.8,pi.14.8,pi.15.8,pi.16.8,pi.17.8,pi.18.8,pi.19.8,pi.20.8,pi.21.8
# Adaptation terminated
# Step size = 0.0730189
# Diagonal elements of inverse mass matrix:
# 0.0242005, 0.0475529, 0.0346206, 0.027686, 0.029663, 0.0270453, 0.0244572, 0.0706782, 0.0754041, 0.0194168, 0.0698011, 0.0264935, 0.033206, 0.0976328, 0.0445173, 0.0248254, 0.105742, 0.0528137, 0.0311044, 0.0202153, 0.0542401, 0.0221419, 0.0182113, 0.0566593, 0.0353997, 0.0260644, 0.195763, 0.039905, 0.00637793, 0.0100549, 0.0832066, 0.0457596, 0.0825061, 0.0439994, 0.360658, 0.0174021, 0.0155715, 0.262016, 0.322757, 0.0169808, 0.0498586, 0.12055, 0.0365265, 0.112538, 0.0487726, 0.302237, 0.04848, 0.0364588, 0.219958, 0.237312, 0.198009, 0.0546138, 0.00668032, 0.2371, 0.207931, 0.00678007, 0.0373355, 0.030928, 0.0114114, 0.092974, 0.186139, 0.0408437, 0.0529465, 0.0688956, 0.48314, 0.157987, 0.300894, 0.0455311, 0.443223
-6597.9252,0.99467935,0.07301887,6,63,0,6631.3216,0.15369024,0.13065544,0.068988676,0.15491165,0.10131417,0.09899983,0.15466353,0.13677647,-1.8183399,-2.5140762,-0.22280596,-1.9019949,-0.65490817,-1.0001271,-1.7440837,-1.2239481,-0.62019352,-1.460049,-1.3289537,-1.5409538,-0.43279893,-1.2499249,-0.18068578,-0.36543705,-2.1732692,-0.75587687,-1.2292321,-2.1445268,-1.4201621,4.0971854,3.686022,1.073331,1.8155587,1.2059253,1.5007167,0.1814358,2.2185863,3.9042116,0.57582818,0.2318239,1.7845606,1.5905036,0.82140666,1.8348378,0.942749,2.4032324,0.96353718,1.4415239,1.7305081,1.1673003,0.4491598,0.50980397,0.88374303,4.9175156,0.80107257,0.79153069,2.5198531,2.3176468,2.1880119,3.0644866,0.045228934,0.6245366,1.498546,1.2929584,1.6797567,-0.94319734,0.019546066,0.30119316,0.74531656,-1.9624486,-1.8728161,-2.0351917,-2.6738129,-1.8649003,-2.289529,-2.3126371,-1.8665033,-1.9894073,0.13963319,0.074877257,0.4445278,0.12988286,0.34188435,0.26891642,0.14879497,0.22724241,0.34973744,0.18845983,0.20933248,0.17639667,0.39345817,0.22271314,0.45495105,0.40964405,0.10217674,0.31954211,0.22631585,0.10484378,0.19463618,0.90710981,0.074877257,0.4445278,0.47840438,0.69968715,0.26891642,0.14879497,0.34341334,0.34973744,0.53256747,0.6238411,0.17639667,0.39345817,0.61788557,0.56671824,0.40964405,0.93958758,0.511297,0.78425227,0.54317224,0.19463618,0.13963319,0.074877257,0.70067727,0.33268423,0.34188435,0.77179228,0.89661141,0.22724241,0.34973744,0.18845983,0.40463126,0.70313651,0.39345817,0.22271314,0.5815448,0.62675156,0.10217674,0.50891251,0.22631585,0.10484378,0.19463618,0.13963319,0.76349654,0.4445278,0.12988286,0.38379471,0.26891642,0.14879497,0.27049272,0.76212532,0.3455535,0.20933248,0.35952725,0.73277054,0.47935559,0.45495105,0.40964405,0.10217674,0.31954211,0.22631585,0.51086958,0.83812252,0.90710981,0.074877257,0.70067727,0.76218895,0.69968715,0.77179228,0.89661141,0.34341334,0.34973744,0.53256747,0.95804872,0.70313651,0.39345817,0.61788557,0.74639389,0.62675156,0.93958758,0.82949365,0.78425227,0.54317224,0.19463618,0.90710981,0.76349654,0.4445278,0.47840438,0.83913161,0.26891642,0.14879497,0.74691954,0.76212532,0.90420275,0.6238411,0.35952725,0.73277054,0.84123281,0.56671824,0.40964405,0.93958758,0.511297,0.78425227,0.5983713,0.83812252,0.13963319,0.76349654,0.70067727,0.33268423,0.38379471,0.77179228,0.89661141,0.27049272,0.76212532,0.3455535,0.40463126,0.70736454,0.73277054,0.47935559,0.5815448,0.62675156,0.10217674,0.50891251,0.22631585,0.51086958,0.83812252,0.90710981,0.76349654,0.70067727,0.76218895,0.83913161,0.77179228,0.89661141,0.74691954,0.76212532,0.90420275,0.95804872,0.70736454,0.73277054,0.84123281,0.74639389,0.62675156,0.93958758,0.82949365,0.78425227,0.5983713,0.83812252
-6586.2404,0.97117962,0.07301887,6,63,0,6625.3514,0.1579122,0.1136757,0.097036797,0.094283501,0.12397168,0.15510961,0.11848855,0.13952196,-2.3858532,-1.7713404,-0.17107492,-1.5569646,-0.92030585,-1.0235956,-1.8167868,-1.2401295,-0.5454199,-2.2944451,-1.1839513,-0.96601776,-0.1728293,-1.1232521,-0.42319809,-0.47476984,-1.9820691,-1.0139793,-1.1659472,-2.6416011,-1.0843389,4.2942975,3.0676499,0.60090333,1.1198542,1.1711208,1.8143327,0.5170276,2.2020132,3.523989,0.16780572,0.41887812,1.6428149,1.9601166,1.8772128,1.715597,0.6853213,1.4148894,0.28587375,1.181758,2.0488825,1.1617375,0.46494355,0.82514306,1.011162,3.7269439,0.36611778,0.88120186,2.1526444,2.5530617,2.9059501,3.3003343,0.10908241,0.004727278,1.486199,-0.72583965,1.3218329,0.31739636,-0.57328976,0.16167743,2.1541297,-1.6453756,-1.8457161,-2.1744056,-2.332665,-2.3614491,-2.0877021,-1.8636233,-2.1329389,-1.9695332,0.084257844,0.14537571,0.45733527,0.17408264,0.28489558,0.26432762,0.13981988,0.22441344,0.36692768,0.091584066,0.23434248,0.27567496,0.4568999,0.24540856,0.39575173,0.38348791,0.12109844,0.26620183,0.23758833,0.06650856,0.25268579,0.87084428,0.14537571,0.45733527,0.39242972,0.70972048,0.26432762,0.13981988,0.25496142,0.36692768,0.41718782,0.62986686,0.27567496,0.4568999,0.71618796,0.51043485,0.38348791,0.8513052,0.34347161,0.72843508,0.47787959,0.25268579,0.084257844,0.14537571,0.60583269,0.40471822,0.28489558,0.76466317,0.84647304,0.22441344,0.36692768,0.091584066,0.37786267,0.61037092,0.4568999,0.24540856,0.59915487,0.63097274,0.12109844,0.46685433,0.23758833,0.06650856,0.25268579,0.084257844,0.78521322,0.45733527,0.17408264,0.40052496,0.26432762,0.13981988,0.30549809,0.74977169,0.39717925,0.23434248,0.33622916,0.73281045,0.50962018,0.39575173,0.38348791,0.12109844,0.26620183,0.23758833,0.56570505,0.90167673,0.87084428,0.14537571,0.60583269,0.69911619,0.70972048,0.76466317,0.84647304,0.25496142,0.36692768,0.41718782,0.92681747,0.61037092,0.4568999,0.71618796,0.73663778,0.63097274,0.8513052,0.91586683,0.72843508,0.47787959,0.25268579,0.87084428,0.78521322,0.45733527,0.39242972,0.80467627,0.26432762,0.13981988,0.69693679,0.74977169,0.69360866,0.62986686,0.33622916,0.73281045,0.81966481,0.51043485,0.38348791,0.8513052,0.34347161,0.72843508,0.76351266,0.90167673,0.084257844,0.78521322,0.60583269,0.40471822,0.40052496,0.76466317,0.84647304,0.30549809,0.74977169,0.39717925,0.37786267,0.74118596,0.73281045,0.50962018,0.59915487,0.63097274,0.12109844,0.46685433,0.23758833,0.56570505,0.90167673,0.87084428,0.78521322,0.60583269,0.69911619,0.80467627,0.76466317,0.84647304,0.69693679,0.74977169,0.69360866,0.92681747,0.74118596,0.73281045,0.81966481,0.73663778,0.63097274,0.8513052,0.91586683,0.72843508,0.76351266,0.90167673
-6582.1627,0.97697432,0.07301887,6,63,0,6617.9654,0.14936133,0.14251122,0.082800309,0.11904457,0.11380528,0.11131719,0.17772046,0.10343963,-2.3211457,-2.1777998,-0.37190936,-2.177976,-0.44746412,-0.99038767,-1.8128384,-1.5084047,-0.78984008,-1.5416218,-1.2323598,-1.1234852,-0.12425561,-0.88695698,-0.2723789,-0.43133265,-2.3275694,-0.95367376,-1.774315,-2.4580295,-0.99696064,4.235959,3.3110806,0.87581955,1.986598,1.9424006,0.8953104,0.19726769,2.1090968,4.1082348,0.90998839,1.0910145,1.7473349,1.4666978,0.76525545,2.0242764,1.2480902,1.501926,0.47245001,1.0169597,1.4116967,0.75892772,0.35741501,0.49093098,0.95173046,4.5250927,0.52323709,0.90463207,3.2738952,2.9304289,2.5258989,3.4031775,-0.9470749,1.3752497,0.28953534,1.1465356,1.3406211,-0.09183808,0.89590191,0.57170206,1.481359,-2.2425957,-1.9013869,-1.9483345,-2.4913235,-2.1282573,-2.1732663,-2.1953716,-1.7275434,-2.2687671,0.089386757,0.10176187,0.40807973,0.10174576,0.38996386,0.27083551,0.14029543,0.18117534,0.31220301,0.17629964,0.22576868,0.24536538,0.468976,0.2917382,0.43232317,0.39380815,0.088865268,0.2781466,0.14500654,0.078853344,0.26953942,0.87155893,0.10176187,0.40807973,0.452301,0.61012705,0.27083551,0.14029543,0.35470611,0.31220301,0.48127777,0.68824271,0.24536538,0.468976,0.6282554,0.52124622,0.39380815,0.90002688,0.39402206,0.81751185,0.6159515,0.26953942,0.089386757,0.10176187,0.6233778,0.44137701,0.38996386,0.75374919,0.90849506,0.18117534,0.31220301,0.17629964,0.50393253,0.59349697,0.468976,0.2917382,0.55442157,0.62724078,0.088865268,0.48774203,0.14500654,0.078853344,0.26953942,0.089386757,0.75644385,0.40807973,0.10174576,0.43777515,0.27083551,0.14029543,0.39714143,0.72261995,0.31510356,0.22576868,0.34275629,0.70944788,0.46803633,0.43232317,0.39380815,0.088865268,0.2781466,0.14500654,0.51696082,0.91730015,0.87155893,0.10176187,0.6233778,0.69081831,0.61012705,0.75374919,0.90849506,0.35470611,0.31220301,0.48127777,0.96709359,0.59349697,0.468976,0.6282554,0.75908492,0.62724078,0.90002688,0.87605103,0.81751185,0.6159515,0.26953942,0.87155893,0.75644385,0.40807973,0.452301,0.88291861,0.27083551,0.14029543,0.68613976,0.72261995,0.86257776,0.68824271,0.34275629,0.70944788,0.89839977,0.52124622,0.39380815,0.90002688,0.39402206,0.81751185,0.68041998,0.91730015,0.089386757,0.75644385,0.6233778,0.44137701,0.43777515,0.75374919,0.90849506,0.39714143,0.72261995,0.31510356,0.50393253,0.68114802,0.70944788,0.46803633,0.55442157,0.62724078,0.088865268,0.48774203,0.14500654,0.51696082,0.91730015,0.87155893,0.75644385,0.6233778,0.69081831,0.88291861,0.75374919,0.90849506,0.68613976,0.72261995,0.86257776,0.96709359,0.68114802,0.70944788,0.89839977,0.75908492,0.62724078,0.90002688,0.87605103,0.81751185,0.68041998,0.91730015
-6601.0094,0.64533209,0.07301887,6,63,0,6627.5474,0.19221255,0.13922095,0.1113756,0.12090591,0.094568553,0.097284409,0.14357137,0.10086067,-2.3297607,-2.1091516,-0.13463957,-2.6094957,-0.33694906,-0.9576858,-1.5837063,-1.580253,-0.73033925,-1.5474903,-1.3704647,-0.93907173,-0.13946478,-0.87966208,-0.20048943,-0.49696238,-2.3625283,-0.70213966,-1.7565356,-2.9099676,-0.94365006,4.3288076,3.5871622,0.87693592,2.6511116,2.5468817,0.97205768,0.19398605,2.2848639,3.5175599,1.1981822,0.44283432,1.6070434,1.5218147,0.72007837,1.6090288,1.2381192,1.4437846,0.37636037,1.2056691,1.444225,0.61213972,0.4226922,0.44132108,1.2473872,4.5489089,0.77424911,0.7182742,3.2228736,2.6009829,3.5506143,2.852122,-2.0463262,0.41735702,0.69845856,0.32266039,1.139181,0.28264125,0.46744419,0.35375876,1.198388,-2.3718956,-1.6491535,-1.9716931,-2.194847,-2.1127427,-2.3584303,-2.3301165,-1.940923,-2.2940153,0.088688002,0.10821052,0.46639086,0.068529788,0.41655078,0.27734177,0.17027122,0.17075966,0.32512028,0.17544905,0.20254477,0.28108789,0.46519021,0.29324781,0.45004486,0.37825479,0.086075098,0.33133801,0.14722477,0.051663023,0.28016364,0.88069697,0.10821052,0.46639086,0.51040249,0.65364692,0.27734177,0.17027122,0.40562755,0.32512028,0.49358146,0.55935976,0.28108789,0.46519021,0.63750764,0.55532325,0.37825479,0.89901981,0.51801955,0.81250015,0.42336258,0.28016364,0.088688002,0.10821052,0.6774978,0.48435161,0.41655078,0.79037347,0.87367534,0.17075966,0.32512028,0.17544905,0.46696183,0.62356624,0.46519021,0.29324781,0.55991859,0.67927126,0.086075098,0.50403355,0.14722477,0.051663023,0.28016364,0.088688002,0.81427191,0.46639086,0.068529788,0.46432,0.27734177,0.17027122,0.24279462,0.70613878,0.30419259,0.20254477,0.36292034,0.74387441,0.43351545,0.45004486,0.37825479,0.086075098,0.33133801,0.14722477,0.65489963,0.87084738,0.88069697,0.10821052,0.6774978,0.6323174,0.65364692,0.79037347,0.87367534,0.40562755,0.32512028,0.49358146,0.93187563,0.62356624,0.46519021,0.63750764,0.73444295,0.67927126,0.89901981,0.87961312,0.81250015,0.42336258,0.28016364,0.88069697,0.81427191,0.46639086,0.51040249,0.77668503,0.27734177,0.17027122,0.68118482,0.70613878,0.73440015,0.55935976,0.36292034,0.74387441,0.8380984,0.55532325,0.37825479,0.89901981,0.51801955,0.81250015,0.70469033,0.87084738,0.088688002,0.81427191,0.6774978,0.48435161,0.46432,0.79037347,0.87367534,0.24279462,0.70613878,0.30419259,0.46696183,0.76200701,0.74387441,0.43351545,0.55991859,0.67927126,0.086075098,0.50403355,0.14722477,0.65489963,0.87084738,0.88069697,0.81427191,0.6774978,0.6323174,0.77668503,0.79037347,0.87367534,0.68118482,0.70613878,0.73440015,0.93187563,0.76200701,0.74387441,0.8380984,0.73444295,0.67927126,0.89901981,0.87961312,0.81250015,0.70469033,0.87084738
-6596.4442,0.99971594,0.07301887,6,63,0,6640.5859,0.14509465,0.11849544,0.064944673,0.12313694,0.17484113,0.16542251,0.079624918,0.12843973,-2.2814887,-1.759332,-0.25700591,-2.2607569,-1.0550925,-0.92692091,-1.6933579,-1.3557735,-0.81615565,-2.036483,-1.3222737,-0.80916183,-0.096878061,-0.90847381,-0.38468006,-0.41913843,-2.0807242,-1.2584796,-1.5403432,-2.5442722,-1.215084,3.8952465,2.9955359,0.73431149,1.8512048,1.4377376,1.5273156,0.19188613,1.9755589,3.4348662,0.63240721,0.22592249,1.7000114,2.0357268,1.2618445,1.7669379,1.2218323,1.0276382,0.3047522,1.1829589,1.8459157,0.38194999,0.2803685,0.914892,0.82527724,3.9147616,0.92857419,0.80521476,2.7008392,2.4808125,2.5124135,4.0281026,0.17125572,1.1570545,1.5665879,0.14637413,0.76257784,0.6242458,0.24046076,-0.16203667,1.572942,-1.781488,-1.930369,-2.1328808,-2.7342196,-2.0944582,-1.7438775,-1.7992524,-2.5304282,-2.0522955,0.092667706,0.14687402,0.43609986,0.094425627,0.25824839,0.28354981,0.15533476,0.20492808,0.30658032,0.11542534,0.21044026,0.30806913,0.47579941,0.28731224,0.40499862,0.39672293,0.11098449,0.22123574,0.17648539,0.072812227,0.22880273,0.83393245,0.14687402,0.43609986,0.39901953,0.6159098,0.28354981,0.15533476,0.32665214,0.30658032,0.49981095,0.60936985,0.30806913,0.47579941,0.71858264,0.47394573,0.39672293,0.862242,0.41826365,0.76142283,0.48414039,0.22880273,0.092667706,0.14687402,0.61711142,0.30512311,0.25824839,0.74051326,0.85087856,0.20492808,0.30658032,0.11542534,0.47491074,0.55440288,0.47579941,0.28731224,0.62953254,0.60016168,0.11098449,0.38858481,0.17648539,0.072812227,0.22880273,0.092667706,0.77490255,0.43609986,0.094425627,0.29666987,0.28354981,0.15533476,0.2441886,0.70762059,0.31547658,0.21044026,0.37650495,0.747643,0.37132802,0.40499862,0.39672293,0.11098449,0.22123574,0.17648539,0.492036,0.94337529,0.83393245,0.14687402,0.61711142,0.76842537,0.6159098,0.74051326,0.85087856,0.32665214,0.30658032,0.49981095,0.91901767,0.55440288,0.47579941,0.71858264,0.65668223,0.60016168,0.862242,0.88577081,0.76142283,0.48414039,0.22880273,0.83393245,0.77490255,0.43609986,0.39901953,0.86070571,0.28354981,0.15533476,0.74443412,0.70762059,0.8033654,0.60936985,0.37650495,0.747643,0.82633221,0.47394573,0.39672293,0.862242,0.41826365,0.76142283,0.66093547,0.94337529,0.092667706,0.77490255,0.61711142,0.30512311,0.29666987,0.74051326,0.85087856,0.2441886,0.70762059,0.31547658,0.47491074,0.7590493,0.747643,0.37132802,0.62953254,0.60016168,0.11098449,0.38858481,0.17648539,0.492036,0.94337529,0.83393245,0.77490255,0.61711142,0.76842537,0.86070571,0.74051326,0.85087856,0.74443412,0.70762059,0.8033654,0.91901767,0.7590493,0.747643,0.82633221,0.65668223,0.60016168,0.862242,0.88577081,0.76142283,0.66093547,0.94337529
-6589.9325,0.99924618,0.07301887,6,63,0,6633.9397,0.13904135,0.11743241,0.067372175,0.11256753,0.15435398,0.13273198,0.13653761,0.13996296,-2.1714103,-1.8483399,-0.10533082,-1.8278224,-0.61518598,-0.72817907,-1.3333139,-1.3668549,-0.76201065,-1.8411535,-0.91573698,-0.9955348,-0.28458225,-1.0529902,-0.16462656,-0.31227089,-2.1534869,-0.89899595,-1.4625868,-2.7844962,-1.1662278,4.1940617,2.9767817,0.786302,1.6495334,1.7426976,1.5350727,0.26431917,1.9086317,3.3478946,0.5101259,0.23023453,1.9249604,1.7215981,0.95820437,1.3732011,0.69478751,1.4032501,0.42054014,0.87099587,1.5769262,0.95959311,0.35846304,0.95782278,1.1185324,4.0608194,0.66681128,1.4018992,2.8413728,2.4685052,3.4599993,3.2779779,-0.97055784,0.84922669,1.4593166,0.84513793,2.0750338,-0.057547789,0.36655011,-0.3350848,0.7794627,-2.03473,-1.9729839,-2.1418924,-2.6975232,-2.1842019,-1.8685068,-2.0194234,-1.9911551,-1.9663774,0.10234739,0.13606794,0.47369161,0.13849789,0.35087712,0.32559444,0.20861174,0.20312846,0.31820989,0.13691493,0.28582731,0.26982024,0.42933074,0.25865132,0.45893606,0.42256054,0.10400584,0.28925687,0.18807201,0.058167742,0.2375375,0.88315488,0.13606794,0.47369161,0.45554545,0.71501903,0.32559444,0.20861174,0.29802321,0.31820989,0.47014671,0.61241243,0.26982024,0.42933074,0.62806767,0.54830796,0.42256054,0.87071917,0.4422132,0.79879596,0.42165306,0.2375375,0.10234739,0.13606794,0.66395542,0.47873162,0.35087712,0.76502918,0.88231948,0.20312846,0.31820989,0.13691493,0.44498626,0.60053991,0.42933074,0.25865132,0.68851721,0.69131228,0.10400584,0.62314137,0.18807201,0.058167742,0.2375375,0.10234739,0.75555124,0.47369161,0.13849789,0.41317224,0.32559444,0.20861174,0.24294141,0.76186829,0.29256703,0.28582731,0.36008513,0.64254184,0.47666769,0.45893606,0.42256054,0.10400584,0.28925687,0.18807201,0.66273429,0.89203999,0.88315488,0.13606794,0.66395542,0.64424819,0.71501903,0.76502918,0.88231948,0.29802321,0.31820989,0.47014671,0.96184826,0.60053991,0.42933074,0.62806767,0.69350871,0.69131228,0.87071917,0.8753569,0.79879596,0.42165306,0.2375375,0.88315488,0.75555124,0.47369161,0.45554545,0.88426284,0.32559444,0.20861174,0.69695133,0.76186829,0.84340533,0.61241243,0.36008513,0.64254184,0.8641364,0.54830796,0.42256054,0.87071917,0.4422132,0.79879596,0.75199452,0.89203999,0.10234739,0.75555124,0.66395542,0.47873162,0.41317224,0.76502918,0.88231948,0.24294141,0.76186829,0.29256703,0.44498626,0.68367394,0.64254184,0.47666769,0.68851721,0.69131228,0.10400584,0.62314137,0.18807201,0.66273429,0.89203999,0.88315488,0.75555124,0.66395542,0.64424819,0.88426284,0.76502918,0.88231948,0.69695133,0.76186829,0.84340533,0.96184826,0.68367394,0.64254184,0.8641364,0.69350871,0.69131228,0.87071917,0.8753569,0.79879596,0.75199452,0.89203999
